country,code,violations,staff,post,corruption
Angola,AGO,50,9,no,1.0475056171417236
Angola,AGO,1,9,yes,1.0475056171417236
Albania,ALB,17,3,no,0.9210789799690247
Albania,ALB,0,3,yes,0.9210789799690247
United Arab Emirates,ARE,0,3,no,-0.7794677019119263
United Arab Emirates,ARE,0,3,yes,-0.7794677019119263
Argentina,ARG,5,19,no,0.22356674075126648
Argentina,ARG,0,19,yes,0.22356674075126648
Armenia,ARM,3,4,no,0.7100781798362732
Armenia,ARM,0,4,yes,0.7100781798362732
Australia,AUS,0,12,no,-2.205975294113159
Australia,AUS,0,12,yes,-2.205975294113159
Austria,AUT,3,21,no,-2.0210859775543213
Austria,AUT,1,21,yes,-2.0210859775543213
Azerbaijan,AZE,0,5,no,1.0132217407226562
Azerbaijan,AZE,0,5,yes,1.0132217407226562
Burundi,BDI,8,3,no,0.7967860698699951
Burundi,BDI,0,3,yes,0.7967860698699951
Belgium,BEL,3,14,no,-1.2325671911239624
Belgium,BEL,0,14,yes,-1.2325671911239624
Benin,BEN,27,8,no,0.7555961608886719
Benin,BEN,3,8,yes,0.7555961608886719
Burkina Faso,BFA,0,5,no,0.5066801905632019
Burkina Faso,BFA,0,5,yes,0.5066801905632019
Bangladesh,BGD,18,8,no,0.40182068943977356
Bangladesh,BGD,0,8,yes,0.40182068943977356
Bulgaria,BGR,48,6,no,0.4969547688961029
Bulgaria,BGR,1,6,yes,0.4969547688961029
Bahrain,BHR,18,7,no,-0.4061438739299774
Bahrain,BHR,0,7,yes,-0.4061438739299774
Bosnia & Herzegovina,BIH,14,6,no,0.3488849699497223
Bosnia & Herzegovina,BIH,0,6,yes,0.3488849699497223
Belarus,BLR,1,8,no,0.5959898829460144
Belarus,BLR,0,8,yes,0.5959898829460144
Bolivia,BOL,2,9,no,0.4136468470096588
Bolivia,BOL,0,9,yes,0.4136468470096588
Brazil,BRA,67,33,no,-0.09633007645606995
Brazil,BRA,1,33,yes,-0.09633007645606995
Bhutan,BTN,6,5,no,-0.46185868978500366
Bhutan,BTN,0,5,yes,-0.46185868978500366
Botswana,BWA,10,8,no,-0.5292958617210388
Botswana,BWA,0,8,yes,-0.5292958617210388
Central African Republic,CAF,0,3,no,0.5450571179389954
Central African Republic,CAF,0,3,yes,0.5450571179389954
Canada,CAN,0,24,no,-2.508467435836792
Canada,CAN,0,24,yes,-2.508467435836792
Switzerland,CHE,0,10,no,-2.5829877853393555
Switzerland,CHE,0,10,yes,-2.5829877853393555
Chile,CHL,16,14,no,-1.1979445219039917
Chile,CHL,0,14,yes,-1.1979445219039917
China,CHN,44,69,no,0.13631616532802582
China,CHN,0,69,yes,0.13631616532802582
Côte d’Ivoire,CIV,45,10,no,0.35460954904556274
Côte d’Ivoire,CIV,0,10,yes,0.35460954904556274
Cameroon,CMR,24,8,no,1.1102218627929688
Cameroon,CMR,2,8,yes,1.1102218627929688
Congo - Brazzaville,COG,3,6,no,0.9916212558746338
Congo - Brazzaville,COG,0,6,yes,0.9916212558746338
Colombia,COL,0,16,no,0.6088898181915283
Colombia,COL,0,16,yes,0.6088898181915283
Comoros,COM,2,3,no,0.7967860698699951
Comoros,COM,1,3,yes,0.7967860698699951
Costa Rica,CRI,13,19,no,-0.7100738286972046
Costa Rica,CRI,0,19,yes,-0.7100738286972046
Cyprus,CYP,2,11,no,-1.3780226707458496
Cyprus,CYP,0,11,yes,-1.3780226707458496
Czechia,CZE,9,7,no,-0.3539770543575287
Czechia,CZE,0,7,yes,-0.3539770543575287
Germany,DEU,3,52,no,-2.20808744430542
Germany,DEU,0,52,yes,-2.20808744430542
Djibouti,DJI,1,3,no,0.7967860698699951
Djibouti,DJI,0,3,yes,0.7967860698699951
Denmark,DNK,0,17,no,-2.5728225708007812
Denmark,DNK,0,17,yes,-2.5728225708007812
